date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:50:10	17810/17810	---M--	200	added ('OK')	image/png	etag:%224592-5fb2cfea8de63%22	https://themesbrand.com/hybrix/html/html/assets/images/logo-dark.png	C:/Users/Osep/Desktop/admin_salon1/themesbrand.com/hybrix/html/html/assets/images/logo-dark.png	(from https://themesbrand.com/hybrix/html/html/index.html)
14:50:11	17728/17728	---M--	200	added ('OK')	image/png	etag:%224540-5fb2cfea8ee03%22	https://themesbrand.com/hybrix/html/html/assets/images/logo-light.png	C:/Users/Osep/Desktop/admin_salon1/themesbrand.com/hybrix/html/html/assets/images/logo-light.png	(from https://themesbrand.com/hybrix/html/html/index.html)
14:50:11	1454/1454	---M--	200	added ('OK')	image/png	etag:%225ae-5fb2cfea880a3%22	https://themesbrand.com/hybrix/html/html/assets/images/brands/github.png	C:/Users/Osep/Desktop/admin_salon1/themesbrand.com/hybrix/html/html/assets/images/brands/github.png	(from https://themesbrand.com/hybrix/html/html/index.html)
14:50:11	701/701	---M--	200	added ('OK')	image/png	etag:%222bd-5fb2cfea880a3%22	https://themesbrand.com/hybrix/html/html/assets/images/brands/bitbucket.png	C:/Users/Osep/Desktop/admin_salon1/themesbrand.com/hybrix/html/html/assets/images/brands/bitbucket.png	(from https://themesbrand.com/hybrix/html/html/index.html)
14:50:12	911/911	---M--	200	added ('OK')	image/png	etag:%2238f-5fb2cfea880a3%22	https://themesbrand.com/hybrix/html/html/assets/images/brands/dribbble.png	C:/Users/Osep/Desktop/admin_salon1/themesbrand.com/hybrix/html/html/assets/images/brands/dribbble.png	(from https://themesbrand.com/hybrix/html/html/index.html)
14:50:12	772/772	---M--	200	added ('OK')	image/png	etag:%22304-5fb2cfea880a3%22	https://themesbrand.com/hybrix/html/html/assets/images/brands/dropbox.png	C:/Users/Osep/Desktop/admin_salon1/themesbrand.com/hybrix/html/html/assets/images/brands/dropbox.png	(from https://themesbrand.com/hybrix/html/html/index.html)
14:50:12	1428/1428	---M--	200	added ('OK')	image/png	etag:%22594-5fb2cfea880a3%22	https://themesbrand.com/hybrix/html/html/assets/images/brands/mail_chimp.png	C:/Users/Osep/Desktop/admin_salon1/themesbrand.com/hybrix/html/html/assets/images/brands/mail_chimp.png	(from https://themesbrand.com/hybrix/html/html/index.html)
14:50:13	2691/2691	---M--	200	added ('OK')	image/png	etag:%22a83-5fb2cfea880a3%22	https://themesbrand.com/hybrix/html/html/assets/images/brands/slack.png	C:/Users/Osep/Desktop/admin_salon1/themesbrand.com/hybrix/html/html/assets/images/brands/slack.png	(from https://themesbrand.com/hybrix/html/html/index.html)
14:50:14	158830/158830	---M--	200	added ('OK')	image/png	etag:%2226c6e-5fb2cfea8fda3%22	https://themesbrand.com/hybrix/html/html/assets/images/products/img-1.png	C:/Users/Osep/Desktop/admin_salon1/themesbrand.com/hybrix/html/html/assets/images/products/img-1.png	(from https://themesbrand.com/hybrix/html/html/index.html)
14:50:14	129002/129002	---M--	200	added ('OK')	image/png	etag:%221f7ea-5fb2cfea90d43%22	https://themesbrand.com/hybrix/html/html/assets/images/products/img-2.png	C:/Users/Osep/Desktop/admin_salon1/themesbrand.com/hybrix/html/html/assets/images/products/img-2.png	(from https://themesbrand.com/hybrix/html/html/index.html)
